Author,Comment,Likes,Published
@dakshnagar13,Off duty?,0,2026-07-09T03:22:34Z
@innocentvikram18,Bhai ek suggestion hai pet Kam kar le baht bura lagta hai 😢,1,2026-07-09T01:12:57Z
@zaidfazalwala2930,"Bhai ye bura mat lagana pr telu jhaant ni pata..
Sab bekaar brands hai..
Urbano ke jeans literally ek wash mai khatam ho jaati hai.",0,2026-07-09T00:07:11Z
@parvezalamm,try to share myntra link instead of amazon for clothing and footwear,0,2026-07-08T22:07:00Z
@LakshayThakurrr,https://youtu.be/AWbV2BoPiVo?si=QUHnxLWngr7FhQjW,0,2026-07-08T19:37:49Z
@GL_X_Akhil69,Bhaiya budget leather jacket par video bana do,0,2026-07-08T18:00:22Z
@KRISHNASHARMA-ty6bp,Hello bhai kya aap ek video gym essential pe bana sakte ho ki kya kya leja na chaiye gym mei rather than fashion essential more aur ache duffle bhi,0,2026-07-08T17:29:15Z
@lovegutts2366,"Killer' Spykar ,Pepe jeans, being human' flying Machine' in SAB brand ki kyon nahin baat karte ho bro",0,2026-07-08T17:26:22Z
@lovegutts2366,Bhai aap har jeans mein 100% cotton ka use kar rahe ho but fabric key composition dikhai nahin rahe ho 😅,0,2026-07-08T17:23:59Z
@lovegutts2366,Yah girls jeans hi banate hain isiliye inke workers West area ko Shayad mance ke according nahin banaa rahe hain😅,0,2026-07-08T17:22:35Z
@lovegutts2366,Bilkul Levis mein ab vah baat nahin Hai,0,2026-07-08T17:21:21Z
@lovegutts2366,Video mein aap jitne acche se bol rahe ho 100% cotton a fabric composition bhi dikha sakte the (I love your content brother but yahan mein Thoda Sa confuse hu),0,2026-07-08T17:19:53Z
@lovegutts2366,(Urbano) iski jeans ki jo fabric hai raw denim type banai gai hai ismein fabric ki composition I think 98% cotton and 2% spandex ke Sath Hai is vajah se yah jeans thoda versatile aur thoda boring feel ho raha hai but basic jeans ke according yah good,0,2026-07-08T17:17:55Z
@nishantranjan8509,Levi's 555....ultimate,4,2026-07-08T17:16:25Z
@lovegutts2366,(Symbol)800 ke according fabric or wash achcha dikh raha hai(but 5 se 6 varsh mein iski condition aisi nahin rahegi ise dekhkar lag raha hai),0,2026-07-08T17:15:43Z
@lovegutts2366,I think kapde ki jo fabric hai usmein appendix ka jyada use hua Hai is vajah Se vah thodi fail Si gai,5,2026-07-08T17:14:02Z
@Akashdas-d8u,Nowadays gareeb is one kind of gali brother so before you are using this word say I am not taking about your status brother😂,0,2026-07-08T17:11:15Z
@ayusharya434,Try mufti and spykar,1,2026-07-08T17:02:24Z
@muditx021,Brother make review of Uniqlo JW Anderson Jeans collection,1,2026-07-08T16:56:40Z
@RosHem21,Long hair products pe video,0,2026-07-08T16:52:02Z
@Priyanshuu7720,Levi's never disappoints🙌,51,2026-07-08T16:50:10Z
@Rohitkumar-qm5dv,Saari jeans unpressed,0,2026-07-08T16:37:32Z
@sayan_sonu_7525,Try John Player Jeans's Jeans from AJIO and we'll be blown away with the quality and they are available under 1000,0,2026-07-08T16:28:44Z
@ahnaf4942,Capsule wardrobe,6,2026-07-08T16:18:29Z
@kaushik_0106,Thank u bye I am waiting for your video for this for college day to day use 😊,1,2026-07-08T16:06:22Z
@Ultimate-1807,Varsity Jackets under 2k,6,2026-07-08T15:33:50Z
@nabeel2424,Bhai snitch ko toh include hi nahi kiya 🥸,0,2026-07-08T15:31:21Z
@Namanbhadoriya254,American eagle review karo bhai,0,2026-07-08T15:24:19Z
@namitadlakha5963,untld and offduty?,1,2026-07-08T15:16:46Z
@Niteshekka05,Off duty straight fit jeans,3,2026-07-08T15:04:52Z
@Geniousgaming-t5p,Bhai kuch clothing brands batao ham college students ke liye jo online available ho,0,2026-07-08T14:46:59Z
@rishabhgrover8739,Pants pe bhi aaisi hi video please bhai,4,2026-07-08T14:05:42Z
@govindthakur6790,Wow bhaiya bahut acchi video 🎉🎉,2,2026-07-08T13:42:37Z
@himanshumeena6345,I'm a 190 guy bhaii koi muje long length k liiye Jen's btao jo affordable ho plzzz,0,2026-07-08T13:32:00Z
@ThakurAyush0805,"Can We Vote On bottom wear ( trackpants) cotton for summers .
I know he is reading comments .
Thankyou ❤",1,2026-07-08T13:31:20Z
@skkhan999,Bhai bootcut pants,0,2026-07-08T13:00:55Z
@akashdeep5385,"Ralph Lauren,loro piano,zenga,harmes",0,2026-07-08T12:57:30Z
@AdityaPratap-w4q,"I'm a 185 guy, and it's so hard to find 42 or 42-outseam bootcut jeans. There are some brands like Untld and Offduty, but I'm looking for any Levi's International Fit bootcut jeans. They aren't available in India.",1,2026-07-08T12:56:09Z
